personalname,parentname,ethnicname,partnername,grandparentname,ethnicity,gender
14465,6688,,,,,
14470,141,,,,,
14474,14475,,,,,
14474,15267,,,,,
1448,10906,,,,,
14485,1128,,,,,
1449,784,,176,,,
14507,5364,,,,,
14510,1124,,,,,
14519,,,,,,
14522,14523,,,,,
14526,,,,,,
1453,,,,,,
1453,280,,,,,
14531|14532|14533,14531,,,,,
14531|2626|14986,,,14987,,,
14536,141,,,,,
14539,141,,,,,
1454|2688,,,,,,
14549,,,,,,
1455,1413,,360,,,
1457,11839,,,,,
1457,,,12747,,,
1457,774,,,,,
1459,523,,,,,
1462,,,,,,
1466,,,,,,
1469,2481,,,,,
1469,,,,,,
1471,755,,,,,
1471,390,,,,,
1471,1471,,,,,
1471,,,,,,
1472,246,,,,,
1474,307,,,,,
1476,998,,,,,
1476,8167,,,,,
1476,1195,,,,,
1476,6930,,,,,
1476,274,,912,,,
1476,274,,,,,
1476,10332,,,,,
1476,7881,,,,,
1476,,,,,,
1476,,,280,,,
1480,317,,,,,
1482,1106,,,,,
1484,,,,,,
1485,,,,,,
1487,1150,,,,,
1489,1739,,,,,
1489,1251,,,,,
149,2212,,,,,
1491,2287,,,,,
1491,1652,,,,,
14917,,,,,,
14920,,,,,,
14925,14415,,,,,
14927|392|14928,,,,,,
1493,1545,,,,,
1493,12243,,,,,
14930|14931,,,,,,
14933,1740,,,,,
14936,14936,,,,,
14938,14939,,,,,
14944,141,,,,,
14946,1414,,,,,
14948,998,,,,,
1495,973,,,,,
14951,14952,,,,,
14957,14008,,15184,,,
14957,1128,,,,,
14957,2257,,,,,
14957,1248,,,14958,,
14960,,,,,,
14963,15060,,,,,
14963,,,,,,
14963,1119,,,,,
14965,14966,,,,,
14968,1132,,,,,
1497,,,,,,
14970,14415,,,,,
14976,,,,,,
14980,,,,,,
14982,,,,,,
14987|14989,,,14531,,,
14992,1232,,,,,
14994,1232,,,,,
1500,,,,,,
15005,23,,,,,
15009,10872,,,,,
15011,7586,,,,,
15013,,,14020,,,
15013,56,,,,,
15013,1150,,,,,
15015,624,,,,,
15017,196,,,,,
15019|3592,,,,,,
1502,1406,,,,,
15022,1092,,,,,
15022,1124,,,,,
15022,797,,,,,
15027,5415,,,,,
15029,15030,,,,,
1503,485,,,,,
15032,607,,,,,
15034,15035,,,,,
15037,1757,,,,,
15037,141,,,,,
1504,1078,,,,,
15042,15042,,,,,
15046,15129,,,,,
15046,696,,,,,
15051,630,,,,,
15051,141,,,,,
15060,,,,,,
15062|15063,,,,,,
15063,15449,,,,,
15066,141,,,,,
15068,15069,,,,,
1507,,,,,,
15073,15074,,,,,
15074,,,213,,,
15076,15077,,,,,
1508,2233,,,,,
1508,,,,,,
1508,1508,,,,,
1508,1476,,,,,
1508,497,,,,,
1508,7879,,,,,
15080,1549,,,,,
15080,15081,,,,,
15084,11563,,,,,
15087,,,,,,
15093|14109,,,,,,
15095,14109,,,,,
15097,810,,,,,
151,944,,,,,
151,,,820,,,
15102,124,,,,,
15114,1119,,,,,
1512,,,,,,
15121,800,,,,,
15125,,,,,,
15132,,,,,,
15140,808,,,,,
15146,,,15147,,,
15147,,,15146,,,
15147,10872,,5415,,,
1515,,,,,,
15151,1768,,,,,
15154,14331,,,,,
15156,1064,,,,,
15159,175,,,,,
1516,,,,,,
15165,2287,,,,,
1517,,,,,,
15171,15172,,,,,
15174,141,,,,,
15177,15178,,,,,
15178,15180,,,,,
15186,,,,,,
15190,135,,,,,
15194,449,,,,,
15198,2287,,,,,
152,1528,,,,,
1520,,,,,,
15201,12166,,,,,
15204,15205,,,,,
1521,196,,,,,
15212,297,,,,,
15218,6688,,,,,
1522,15810,,,,,
1522,1646,,,,,
15220,2175,,,,,
15220,15484,,,,,
15225,,5756,,,,
1523,1540,,,,,
1523,985,,,,,
15236,,,,,,
15239,6688,,,,,
1524,,,,,,
15241,2287,,,,,
15243,435,,,,,
15243,1222,,15328,,,
1525,,,,,,
15255,2779,,,,,
15259,1540,,,,,
15262,1693,,,,,
15269,462,,,,,
1527,,,,,,
1527,,,3891,,,
15271,462,,,,,
15278,15298,,,,,
15278,1297,,,,,
1528,1654,,,,,
1528,1161,,,,,
1528,1289,,,,,
15281|15282,,,,,,
1529,792,,,,,
1529,,,,,,
1529,1529,,,,,
1529,5767,,,,,
1529,12166,,,,,
1529,568,,,,,
1529,2287,,5444,,,
15295,141,,,,,
15295,56,,,,,
15295,2175,,,,,
153,632,,,,,
15305,841,,,,,
15310,1124,,,,,
15312,449,,,,,
15319,,,,,,
15325,12166,,,,,
15328,1385,,12166,,,
15330,,,15331,,,
15333,775,,,,,
15336,1010,,,,,
1534,4276,,,,,
15341,15339,,,,,
1535,1308,,,,,
15350,,,,,,
15354,15355,,,,,
1536,,2578,,,,
15360,,,,,,
15362,171,,,,,
15366,56,,,,,
15369,,,,,,
15372|2176,,,,,,
15377,390,,,,,
1538,1567,,3380,,,
15383,794,,,,,
15385,794,,,,,
15391,,,,,,
15394,,16686,,,,
154,148,,,,,
1541,4028,,,,,
15422|456,,,,,,
1543,1757,,,,,
15437,14415,,,,,
15439,15440,,,,,
1544,,,196,,,
1544,,,,,,
15443,1297,,,,,
15449,1134,,,,,
15453,2454,,,,,
15455,15435,,,,,
15458,1128,,,,,
1546,12223,,,,,
15464,,,,,,
15466,,,15467,,,
15487,459,,,,,
1549,,,,,,
1549,800,,569,,,
1549,182,,,,,
15491,12166,,,,,
15493,497,,,,,
15498,15499,,,,,
15498,15889,,,,,
15498,696,,,,,
155,4717,,,,,
1550,,,,,,
15513,141,,,,,
15516,829,,,,,
15527,15528,,,,,
1553,,,,,,
1554,,,,,,
1554,,,1192,,,
1555,,,,,,
1556,,,,,,
15567,,,,,,
1558,,,,,,
1558,243,,,,,
1558,247,,,,,
1558,310,,,,,
1558,2454,,,,,
1558,7773,,,,,
15605,971,,,,,
15607,774,,,,,
1561,3891,,,,,
15614,1457,,,,,
15616,1136,,,,,
1562,,,,,,
15621,15622,,,,,
15633,15634,,,,,
15636,15637,,,,,
15641,1150,5347,,,,
15644,,,,,,
15651,661,,,,,
15653,774,,,,,
1566,1566,,,,,
15660,,,,,,
15662,,,94,,,
15664,15665,,,,,
15669,1374,,,,,
15678,15679,,,,,
15681,456,,,,,
15683,880,,,,,
1569,196,,,,,
15693,15694,,,,,
15696,15697,,,,,
15700,15701,,,,,
15701,1762,,,,,
15703,141,,,,,
15706,452,,,,,
15716,,,766,,,
1572,,,,,,
15722,12285,,,,,
1574,,,,,,
15741,1150,,,,,
15754,15755,,,,,
15759,1176,,,,,
1576,1576,,,,,
1576,5805,,,,,
1576,,,,,,
1576,135,,,,,
15768,15769,,,,,
1577,1183,,,,,
1577,4462,,4463,,,
1578,,,,,,
15785,469,,1373,,,
1579,,,,,,
15791,15792,,,,,
15795,774,,,,,
15797,827,,,,,
15799,15800,,,,,
15811,15812,,,,,
15814,15815,,,,,
1582,,,,,,
15825,15826,,,,,
1583,,,2287,,,
15836,1762,,,,,
15846,679,,,,,
15848,679,,,,,
1585,,,,,,
15853,225,,456,,,
1586|9966,,,,,,
1587,816,,,,,
15870,15862,,,,,
15883,15884,,,,,
159,,,,,,
15915,15916,,,,,
15919,605,,,,,
1592,683,,,,,
1593,274,,,,,
15931,,,,,,
15939,373,,,,,
1594,938,,,,,
1594,2233,,,,,
1594,10710,,,,,
1594,1194,,,,,
1594,1427,,,,,
1594,1435,,,,,
1594,1508,,,,,
1594,1594,3166,,,,
1594,274,,,,,
1594,281,,,,,
1594,310,,,,,
1594,,,,,,
15942,,,,,,
15950,223,,,,,
15962,15963,,,,,
15970,67,,,,,
15983,359,,,,,
1599,10325,10321,,,,
1599,,,,,,
1599,1192,,,,,
15991,,,,,,
16,,,,,,
160,784,,,,,
160,469,,,,,
160,463,,,,,
160,679,,,,,
1600|2173,1214,,,,,
1601,,,,,,
16011,,,,,,
1603,,,,,,
16030,,,849,,,
16038,16039,,,,,
1604,,,,,,
16044,2677,,,,,
16046,16047,,,,,
1605,1605,,,,,
16050,16047,,,,,
16054,16055,,,,,
16057,16057,,,,,
16057,16059,,,,,
1606,,,,,,
16061,16057,,,,,
1607,,,791,,,
16075,449,16074,,,,
16079,840,,,,,
1608,8278,,,,,
16081,847,,,,,
16085,1616,,,,,
1609,469,,,,,
16091,1476,,,,,
16106,,,,,,
16108,6622,,,,,
1611,1150,3356,,,,
16136|2176|2189|10154|2609,,,,,,
16147,,,,,,
16149,,,,,,
1616,,,,,,
1616,122,,,,,
1616,274,,,,,
1616,280,,,,,
1616,310,,,,,
1616,525,,,,,
1616,2233,,,,,
1616,1194,,,,,
1616,2252,,,,,
1616,1616,,,,,
1616,,,,,,
16160,2176,,,,,
1616|16451,,,16452,,,
16176,,,,,,
16179,1373,,,,,
1618,1622,,,,,
16185,16186,,,,,
1620,,,,,,
16214|56,,,,,,
1622,,,303,,,
1623,4640,,,,,
16231,12287,5725,,,,
16235,16236,,,,,
1624,,1789,,,,
16242,,,,,,
16252,997,,,,,
16256,997,,,,,
16261,26,,,,,
16278,16279,,,,,
1629,1616,,,,,
1629,,,,,,
1629,1629,,,,,
1630,1522,,,,,
16302,118,,,,,
1631,961,,,,,
16313,,,,,,
16315,,,,,,
1632,784,,,,,
16321,9528,,,,,
16330,,,,,,
16344,1192,,,,,
1635,145,,,,,
1635,140,,,,,
1635,,,,,,
16351,5078,,,,,
16353,,,,,,
16364,,,,,,
16369,,,,,,
1638,1132,,,,,
1638,2779,,356,,,
1638,456,,,,,
1638,,,,,,
16390,1192,,,,,
16392,,,,,,
16397,263,,1403,,,
1640,,,,,,
1640,568,7297,,,,
1640,1640,,,,,
1640,1650,,,,,
1640,6867,,,,,
1640,390,,,,,
1640,797,,,,,
1641,,,,,,
1641,1641,,,2173,,
16415,1757,,,,,
16417,16419,,,,,
16417,683,,,,,
16417|16426,,,,,,
1642,1122,,,,,
1642,,,,,,
1642,4437,,,,,
1642,1576,,,,,
1642,7929,,12869,,,
1642,6236,6178,,,,
1642,6610,,,,,
1642,797,,3380,,,
1642,12241,,,,,
16422,,,,,,
1643,,,,,,
16438,,,,,,
1644,814,,,,,
1644,1395,,,,,
16440,16441,,,,,
16447,,,,,,
16449,,,,,,
1645,1645,,,,,
1645,,,,,,
1646,14016,,,,,
1646,14015,,,,,
1646,1522,,,,,
16464,,,,,,
16468,,,,,,
1647,390,,,,,
1647,,,,,,
1649,182,,,,,
1649,88,,,,,
165,1308,,,,,
16504,,,,,,
1651,1645,,,,,
16512,,,1476,,,
16519|7976,,,392,,,
1653,792,,,,,
1655,792,,,,,
16559,,,,,,
1657,196,,,,,
16574,2181,,,,,
1658,196,,,,,
16583|16584,,,,,,
16586,16583,,,,,
1658|7963,,,,,,
1659,,,,,,
16592,,,,,,
16595,,,,,,
16599,456,,,,,
16610,825,,,,,
16613,,,,,,
16617,619,,,,,
16619,16620,,,,,
16622,,,,,,
16624,16625,,,,,
16627,16628,,,,,
1663,14366,,,,,
1663,1241,,,,,
16630,,,,,,
16632,,,,,,
16634,,,,,,
1664,1156,,,,,
16657,,,,,,
16667,,,,,,
1667,30,,,,,
16678,,,,,,
16680,,,,,,
16689,,,,,,
1669,,,,,,
16691,,,,,,
16693,,,,,,
16695,,,,,,
16697,,,,,,
16699,,,,,,
1670,8858,,,,,
16701,,,,,,
16703,,,,,,
16705,,,,,,
16707,,,,,,
16709,,,,,,
1671,,2578,,,,
16711,,,,,,
16713,,,,,,
1672,456,,,,,
1675,450,,,,,
1678,9518,,,,,
1678,485,,,,,
1679,2287,,209,,,
1679,141,,,,,
1679,356,,,,,
1679,1150,,,,,
168,168,,,,,
168,,,,,,
1681,,,,,,
1683,1730,,,,,
1686,7881,,,,,
1689,497,,,,,
1689,,,,,,
1689,,,,,,
169,1419,,,,,
1691,,,,,,
1691,2287,,,,,
1691,15274,,,,,
1693,2287,,,,,
1693,1095,,,,,
1693,,,,,,
1694,15071,,,,,
1694,1702,,2173,,,
1694,141,,,,,
1696,907,,,,,
1697,7586,,,,,
1698,,,,,,
17,1246,,,,,
170,989,,,,,
170,824,,,,,
1701,4375,,,,,
1702,20,,,,,
1702,128,,,,,
1703,,,41,,,
1704,,,,,,
1706,1031,,,,,
1707,390,,,,,
1708,12166,,,,,
1708,14200,,,,,
1708,842,,,,,
1708,8824,,,,,
1708,196,,3522,,,
1708,196,,6001,857,,
1708,1374,,3891,,,
1708,15851,,,,,
171,40,,,,,
1712,,,,,,
1713,,,10906,,,
1713,,,274,,,
172,,,,,,
1722,,,,,,
1723,1764,,,,,
1724,5428,,,,,
1726,,,,,,
1727,504,,,,,
1728,,,,,,
1729,,,,,,
1730,1403,,,,,
1731,,,213,,,
1732,,,,,,
1734,,,1403,,,
1738,5991,,,,,
1739,1740,,,,,
1739,,,,,,
1739,20,,,,,
1739,247,,,,,
1739,2719,,,,,
174,1545,,,,,
1740,5428,,,,,
1740,1348,,,,,
1740,2506,,,,,
1740,3015,,,,,
1740,,,,,,
1744,827,,,,,
1745,,,,,,
1748,,,,,,
175,1130,,,,,
175,177,,,,,
175,1708,,,,,
175,2516,,,,,
1751,,,,,,
1752,,,1404,,,
1753,80,,,,,
1754|6640,,,,,,
1756,6610,,,,,
1757,804,,,,,
1757,2176,3356,,,,
1757,1218,,,1757,,
1757,3891,,,,,
1757,1132,,,,,
1757,,,,,,
1757,,,,,,
1757,196,,,,,
1757,732,,,,,
1758,274,,,,,
176,116,,,,,
176,1739,,,,,
176,784,,,,,
1760,2458,,,,,
1761,116,,,,,
1761,196,,,,,
1761,124,,,,,
1762,318,,,,,
1762,135,,,,,
1762,761,,,,,
1762,784,,,,,
1762,810,,,,,
1762,812,,,,,
1762,827,,,,,
1762,1020,,,,,
1762,9164,,,,,
1765,,,,,,
1766,954,,,,,
1767,1119,,,,,
1768,14488,,,,,
1768,1593,,,,,
1768,3191,,,,,
1768,,,,,,
1768,15343,,,,,
1768,56,,,,,
1769,,,618,,,
1769,2208,,12559,,,
1769,,3139,,,,
177,177,4232,,,,
1770,11705,,,,,
1771,784,,,,,
1772,2287,,9447,,,
1774,20,,129,,,
1775,247,,,,,
1778,,,,,,
179,774,,,,,
181,2287,2990,,,,
181,38,,,,,
182,,2825,,,,
182,,,,,,
182,14992,,,,,
187,469,,,,,
187,1239,,,,,
188,8406,,,,,
189,2547,,,,,
19,,,,,,
19,19,,,,,
191,21,,,,,
195,1192,,,,,
195,,,10906,,,
195,,,1403,,,
195,2195,,,,,
195,,,3443,,,
195,11444,,,,,
195,,,16292,,,
195,1412,,,,,
195|16445,,,,,,
196,32,,,,,
196,842,,,,,
196,11475,,1544,,,
196,196,,,,,
196,11276,,,11277,,
196,124,,,,,
196,990,,,,,
196,1491,,,,,
196,864,,,,,
196,857,,3487,,,
196,847,,,,,
196,1132,,,,,
196,1191,,,,,
196,1248,,,,,
196,15429,,,,,
196,5582,,,,,
196,5861,,,,,
196,,,,,,
196,390,,,,,
196,15631,,,,,
196,1757,,132,,,
196,1622,,,,,
196,15427,,,,,
196,135,,3574,,,
196,1655,,,,,
196,12085,,,,,
196,3891,,,,,
196,135,,,,,
196|12423,1242,,,,,
197,10080,,,,,
197,12432,,141,,,
197,1253,,,,,
197,200,,,,,
197,200,,,,,
197,,,,,,
198,1663,,,,,
199,768,,,,,
20,969,,,,,
20,141,,3603,,,
20,128,,,,,
20,1222,,,,,
20,1739,,,,,
20,1702,,,,,
20,1150,,,,,
20,141,,,,,
20,116,,,,,
20,20,,,,,
20,10,,,,,
20,5767,,,,,
20,3318,,,,,
20,196,,3387,,,
20,196,,160,,,
20,2287,,1632,,,
200,200,,,,,
200,4542,,,,,
200,2919,,,,,
200,,,,,,
201,1654,,,,,
202,880,,,,,
203,769,,,,,
205,,,,,,
209,1471,,1679,,,
209,868,,,,,
209,,,,,,
209,1640,,,,,
21,,,,,,
211,335,,,,,
212,196,,,,,
212,214,,,,,
212,2173,,,,,
212,8728,,569,,,
212,850,14081,,,,
212,1122,,,,,
212,1239,,,,,
212,,,,,,
212,129,,3541,390,,
213,,6448,,,,
213,11408,,,,,
213,2287,,,,,
213,11444,,,,,
213,1412,,,,,
213,,,,,,
213|212,,,,,,
214,,,,,,
214,1611,,,,,
215,,,,,,
217,8358,,,,,
217,15823,,,,,
2173,14038,,,,,
2173,,,,,,
2173,4811,,,141,,
2173,1131,,,,,
2173,2176,,,,,
2173,1076,,,736,,
2173,2175,16295,,3713,,
2173,1057,,,,,
2173,2196,,,,,
2173,2173,,,,,
2173,2173,,334,,,
2173,683,,,,,
2173,16605,,,,,
2173,483,,,,,
2173,284,,,,,
2173,212,,,,,
2173|10912|2241,,,,,,
2173|11933,6481,,,,,
2173|1220,,,4986,,,
2173|12405|556,,,2264,,,
2173|13366,,,,,,
2173|14056|3732,,,,,,
2173|15257|10872,,,,,,
2173|15866|15862,1172,,,,,
2173|16367|3235,,,,,,
2173|2175,,16295,,,,
2173|2182|2218,,,2242,,,
2173|2185,,,,,,
2173|2185|3400,,,,,,
2173|2204,,,,,,
2173|2204|1514,,,,,,
2173|2204|15862,,,,,,
2173|2204|2257,,,,,,
2173|2204|2261,,,,,,
2173|2204|56,,,,,,
2173|2207|2221,,,,,,
2173|2207|645,,,,,,
2173|2211|1645,,,,,,
2173|2211|264,,,,,,
2173|2211|5584,,,,,,
2173|2252,,,,,,
2173|2330,2176,1791,,,,
2173|2348|2349,,,,,,
2173|2458,,13928,8137,,,
2173|2458,,5756,,,,
2173|2458,,14317,,,,
2173|2458|14123,741,,,,,
2173|2458|1616,,,,,,
2173|2458|196,,,,,,
2173|2458|2176,,,,,,
2173|2458|2185,,,,,,
2173|2458|2204,,,,,,
2173|2458|2229,,,,,,
2173|2458|2241,,,,,,
2173|2458|2252,,,,,,
2173|2458|2361,,,,,,
2173|2458|2461,,,,,,
2173|2458|264,,,,,,
2173|2458|2933,,,,,,
2173|2458|3146|2241,,,,,,
2173|2458|3146|2241,,,,,,
2173|2458|3146|3147,,,,,,
2173|2458|3674,,,,,,
2173|2458|535,,,,,,
2173|2458|647,,,,,,
2173|2458|746,,,,,,
2173|2458|9865,,,,,,
2173|2459|2212,,,,,,
2173|2459|2460,,,,,,
2173|2459|26,,,,,,
2173|2480,,4022,,,,
2173|2626,2173,1791,,,,
2173|2626|2229,1223,,,,,
2173|2626|2992,,,6506,,,
2173|2714|2715,,,,,,
2173|2724|2252,2724,,,,,
2173|3146|4703,,,,,,
2173|3568,,,,,,
2173|3688,,,,,,
2173|3688|2252,,,,,,
2173|3689|3690,,,,,,
2173|3716|2215|13081,,,,,,
2173|3726|3727|3728|2429,,,,,,
2173|59,1373,,,,,
2173|6825|6827,,,,,,
2173|7290,,,,,,
2173|8353|2243,,,,,,
2173|8641|7975,,,,,,
2173|9242|796,,,,,,
2173|953,,,,,,
2174,2174,,,,,
2174,,,,,,
2174|2664,2174,,,,,
2175,2175,,2541,,,
2175,2287,,,,,
2175,2196,,,,,
2175,6953,,,,,
2175,,,,,,
2175,101,,,,,
2175,196,,,,,
2175|11471|3706|2462,,,,,,
2175|12310|2257,,,,,,
2175|12522|12401,,,,,,
2175|12522|3712,,,,,,
2175|13213|2204,,,,,,
2175|13245,,,,,,
2175|14241|2265|2591|561,,,,,,
2175|14241|8199,,,,,,
2175|14248|2257,,,,,,
2175|16506|562,,16507,,,,
2175|2181,,,,,,
2175|2181|3674,,,,,,
2175|2185,,,,,,
2175|2185|2361,,,,,,
2175|2189|2257,2257,,,,,
2175|2189|3146,,,,,,
2175|2189|3674,,,,,,
2175|2204|1569,,,,,,
2175|2204|2244,,,,,,
2175|2206|2173,,,,,,
2175|2206|2261,,,,,,
2175|2206|2261|3325,,,,,,
2175|2206|2261|3325|8075,,,,,,
2175|2206|3325,,,,,,
2175|2206|3692,,,,,,
2175|2206|6550,,,,,,
2175|2211|13938|2992,,,,,,
2175|2268|810,,,,,,
2175|2348,2175,,,,,
2175|2348|9996,,,,,,
2175|2451|6721,,,,,,
2175|2458|3702,,,,,,
2175|2626|11204,,,,,,
2175|2626|2257,,,,,,
2175|2721|2722,,,,,,
2175|3116|5978,,,,,,
2175|3674,,,,,,
2175|3738|2361,,,,,,
2175|3738|9461,,,,,,
2175|3960,,,,,,
2175|54,,,,,,
2175|6867|56,,,,,,
2175|6867|6868,,,,,,
2175|6920|1768,,,,,,
2175|6920|2252,,,,,,
2175|6920|6922,,,,,,
2175|7039|7,,,,,,
2175|8925|8926,,,,,,
2175|9242,,,,,,
2175|9242,,,,,,
2176,,,,,,
2176,15000,,,,,
2176,10660,,,,,
2176,12875,,,,,
2176,2173,,,,,
2176,738,,,,,
2176,12152,,,,,
2176,998,,,2176,,
2176,2176,,,,,
2176,2176,,,,,
2176,10572,,,,,
2176,10658,,,,,
2176,11884,,,,,
2176,2253,,,,,
2176,1594,,,,,
2176,1688,,,,,
2176,,,791,,,
2176,,14978,,,,
2176|10449,565,,,,,
2176|11206|6622,,,,,,
2176|13156,,,,,,
2176|14482,2176,,,,,
2176|14922|14923,,,,,,
2176|15000,2176,,,,,
2176|15460|456,,,,,,
2176|16263|2241,16263,,,,,
2176|16263|2241,,,,,,
2176|2175,,,,,,
2176|2177,,1791,,,,
2176|2181|1469,,,,,,
2176|2185,,,,,,
2176|2185,,1789,,,,
2176|2185|1640,,,,,,
2176|2185|1740,,,,,,
2176|2185|1740,,,,,,
2176|2185|2656,,,,,,
2176|2185|2929,,,,,,
2176|2185|6622,,,,,,
2176|2189,122,,,,,
2176|2189,,,,,,
2176|2189|10,,,,,,
2176|2189|1124,196,,,,,
2176|2189|1127,2458,,,,,
2176|2189|116,212,,,,,
2176|2189|1196,,,,,,
2176|2189|12024,,,,,,
2176|2189|12047,,,,,,
2176|2189|124,1297,,,,,
2176|2189|1310,,,,,,
2176|2189|135,,,,,,
2176|2189|13801|56,,,,,,
2176|2189|141,,,,,,
2176|2189|1491,1491,,,,,
2176|2189|1513,,,,,,
2176|2189|16143,15174,,,,,
2176|2189|1702,196,,,,,
2176|2189|196,196,,,,,
2176|2189|2193,2193,,,,,
2176|2189|2193,,,,,,
2176|2189|2211,,,,,,
2176|2189|2260,,,,,,
2176|2189|2261,,,,,,
2176|2189|2261|2609,,,,,,
2176|2189|2261|56|6656,,,,,,
2176|2189|2287,335,,,,,
2176|2189|236,2287,,,,,
2176|2189|2412|12491,,11902,10356,,,
2176|2189|2609,2622,,,,,
2176|2189|2609,,,,,,
2176|2189|2609|6652,,,,,,
2176|2189|2656,,,,,,
2176|2189|2962,449,,,,,
2176|2189|3146,,,,,,
2176|2189|335,2287,,,,,
2176|2189|3674|2609,,,,,,
2176|2189|3891,,,,,,
2176|2189|390,456,,,,,
2176|2189|449,,,,,,
2176|2189|5342,,,,,,
2176|2189|56,643,11902,,,,
2176|2189|56,,,,,,
2176|2189|616,196,,,,,
2176|2189|641|6717,,,,,,
2176|2189|6622,,,,,,
2176|2189|6761,,,,,,
2176|2189|6794,,,,,,
2176|2189|775,237,,,,,
2176|2189|7887|2179,,,,,,
2176|2189|816,1174,,2188,,,
2176|2196,,,,,,
2176|2196|2257,,,,,,
2176|2203|11398,,,,,,
2176|2204,,,,,,
2176|2204|11926,,,,,,
2176|2204|2181|6169,,,,,,
2176|2204|2722,,,,,,
2176|2211|102,,,,,,
2176|2234,922,10148,,1125,,
2176|2324,2176,1791,,,,
2176|2330|12311,,,,,,
2176|2412,,,,,,
2176|2412|10437,,,,,,
2176|2412|149,,,,,,
2176|2412|212,,,,,,
2176|2412|2229,,,,,,
